studno,description,action,datefiled,dateresolved
2015-91529,ante ipsum primis in faucibus orci luctus et ultrices,amet,1993-12-17,1997-01-24
2004-58228,sapien cum sociis natoque penatibus et magnis,morbi,1995-12-03,1996-09-01
2012-88769,in felis donec semper sapien a libero nam,eget,1997-06-18,1999-01-17
2016-61271,venenatis turpis enim blandit mi in porttitor pede justo eu,rhoncus,1996-01-23,1999-10-19
2008-42201,maecenas tristique est et tempus,nonummy,1999-03-16,1999-05-07
2019-38573,augue luctus tincidunt nulla mollis molestie lorem quisque ut,posuere,2000-06-30,1999-03-25
1994-33065,pulvinar sed nisl nunc rhoncus dui,quam,1993-01-14,1994-06-24
1995-44915,curae mauris viverra diam vitae quam suspendisse potenti,donec,2000-04-15,1990-02-02
2019-63887,dapibus at diam nam tristique tortor eu,ac,2000-11-12,1995-04-18
2016-02998,tortor sollicitudin mi sit amet,elit,1999-02-20,2000-07-31
1990-10459,in quis justo maecenas rhoncus aliquam,ante,1996-02-08,1998-10-24
1999-84951,odio odio elementum eu interdum eu,posuere,1996-11-24,1991-11-22
2017-42099,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,lobortis,2000-07-21,1998-10-29
2008-86733,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,mattis,1996-01-30,1990-12-01
2016-81129,at nunc commodo placerat praesent blandit,ac,1993-11-07,1999-07-30
2006-86782,sociis natoque penatibus et magnis dis,dapibus,1993-09-08,2000-02-04
2003-87197,libero nam dui proin leo odio porttitor id,primis,1999-01-29,1991-06-10
1996-26547,ante nulla justo aliquam quis,nunc,1998-10-21,1995-04-12
1994-26329,pellentesque ultrices phasellus id sapien in,id,1996-01-26,1998-09-08
2016-78195,nulla ultrices aliquet maecenas leo,convallis,1994-04-30,1998-11-10
2010-38009,massa volutpat convallis morbi odio odio,ac,1996-08-31,1999-11-20
2016-33907,donec pharetra magna vestibulum aliquet ultrices erat tortor,neque,1994-05-31,1997-12-15
2004-63369,ipsum primis in faucibus orci luctus et ultrices,nulla,2000-12-07,1990-10-24
2005-14636,varius ut blandit non interdum in ante vestibulum,venenatis,1992-11-12,1997-09-20
2015-85311,lacinia nisi venenatis tristique fusce,varius,1993-06-21,1997-10-18
2014-96899,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,quis,1993-02-15,1998-12-18
2001-12506,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,aenean,1996-12-21,1995-07-01
1991-37374,id massa id nisl venenatis lacinia aenean sit,rhoncus,1998-05-04,1990-03-09
2011-69869,morbi a ipsum integer a nibh in quis justo maecenas,vel,1990-10-02,1997-01-22
2008-01181,lacinia nisi venenatis tristique fusce congue,id,1990-08-22,1999-11-29
2017-33237,hac habitasse platea dictumst etiam faucibus cursus,tempus,1998-08-28,1998-01-12
2015-16136,nec condimentum neque sapien placerat,hac,1992-02-09,1992-11-07
1992-50297,tincidunt in leo maecenas pulvinar lobortis est phasellus sit,dapibus,1994-02-04,1996-02-01
2017-08992,quis turpis eget elit sodales scelerisque mauris sit amet,et,1994-12-09,1998-05-22
2012-27690,vestibulum aliquet ultrices erat tortor,leo,1995-09-28,1998-09-04
2005-15365,risus praesent lectus vestibulum quam,vestibulum,2000-07-15,1996-05-28
2001-35543,nisl nunc nisl duis bibendum felis,et,1996-02-28,1997-11-05
2015-42621,mattis nibh ligula nec sem duis aliquam convallis,ac,1995-01-20,1995-04-09
2011-49929,potenti cras in purus eu,vestibulum,1994-04-22,1999-07-22
2014-93008,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,sit,1997-02-22,1996-10-05
2007-91544,sapien quis libero nullam sit amet turpis elementum ligula,congue,1995-01-26,1997-03-20
1999-08893,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,montes,1993-11-11,1994-03-03
2014-05837,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,in,1993-10-03,1992-11-24
2014-33415,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,donec,1990-06-12,1992-07-07
1995-94898,convallis tortor risus dapibus augue,purus,1990-08-19,1998-12-06
2017-19604,donec ut dolor morbi vel lectus,id,1997-03-09,1997-05-23
1999-97729,eget elit sodales scelerisque mauris sit amet eros,turpis,1995-12-22,2000-07-14
2015-48509,orci luctus et ultrices posuere cubilia,nulla,1997-10-14,1990-09-01
2006-46421,vel est donec odio justo sollicitudin ut suscipit,luctus,1990-12-05,1996-10-06
2003-90323,in tempor turpis nec euismod scelerisque,ligula,1994-11-09,1996-02-06
1998-47046,ac lobortis vel dapibus at diam,sit,1997-08-27,1994-04-20
1995-71385,amet turpis elementum ligula vehicula consequat morbi a ipsum,nisl,1999-11-07,1999-03-14
2018-91318,dictumst morbi vestibulum velit id pretium iaculis diam erat,pede,1993-04-14,1993-10-19
1990-77523,pellentesque volutpat dui maecenas tristique est et tempus semper est,sociis,1998-04-04,1997-09-03
1990-93444,semper rutrum nulla nunc purus phasellus in felis,cum,1998-06-19,2000-03-09
2012-11432,vestibulum vestibulum ante ipsum primis,libero,2000-04-25,1994-03-22
2014-60804,quam a odio in hac habitasse platea dictumst maecenas ut,mattis,1999-06-10,1996-01-21
2014-96112,nibh in lectus pellentesque at nulla suspendisse potenti cras in,in,1999-09-23,1994-11-27
2013-97688,lobortis est phasellus sit amet erat nulla tempus vivamus,nibh,1999-05-23,1994-09-19
2005-55515,consequat lectus in est risus auctor sed tristique in tempus,quisque,1993-07-01,1996-01-14
2018-53805,odio cras mi pede malesuada in imperdiet et,posuere,1991-08-30,1990-09-26
2016-45499,diam id ornare imperdiet sapien urna pretium,ligula,1995-06-25,1997-03-18
1994-43705,nulla quisque arcu libero rutrum ac,ut,1992-03-12,1998-09-01
2012-39689,cum sociis natoque penatibus et magnis dis,non,1995-12-18,1998-04-26
1998-88827,vivamus tortor duis mattis egestas,nulla,1990-02-13,1999-03-18
2017-85124,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,justo,1994-02-15,1999-04-24
2008-84591,nunc nisl duis bibendum felis sed interdum venenatis turpis enim,eleifend,1995-05-22,1993-04-07
2002-52185,rutrum neque aenean auctor gravida sem praesent,pede,1994-04-20,1990-05-03
2017-51817,id nulla ultrices aliquet maecenas leo odio condimentum id luctus,facilisi,1998-05-05,1998-06-02
1995-53013,ligula vehicula consequat morbi a ipsum,pellentesque,2000-04-24,1991-04-01
2008-88909,a libero nam dui proin,ac,2000-03-25,1995-05-15
2014-88150,nec condimentum neque sapien placerat ante nulla justo,ridiculus,1996-03-05,1998-04-22
2019-43208,accumsan tortor quis turpis sed ante vivamus tortor duis,tristique,1993-07-14,2000-11-24
2005-42342,quisque arcu libero rutrum ac lobortis vel dapibus,erat,1997-07-11,1998-08-20
2002-55180,sollicitudin ut suscipit a feugiat,lacinia,1994-01-19,1998-04-20
1994-64642,porta volutpat erat quisque erat eros,viverra,1999-03-05,1994-05-05
2017-96723,nulla facilisi cras non velit nec nisi,eleifend,1990-07-27,1996-09-15
1995-74578,rutrum ac lobortis vel dapibus at diam,pede,1997-07-29,1994-09-28
2010-07388,duis faucibus accumsan odio curabitur convallis duis,sagittis,1993-02-11,1999-11-17
1993-43834,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,quis,1995-04-29,1990-12-27
2002-23569,magna ac consequat metus sapien ut nunc vestibulum ante,sit,1995-10-31,1996-04-26
2013-86163,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,nisl,1990-07-10,1999-11-30
2006-26357,nec dui luctus rutrum nulla tellus in,luctus,1999-04-05,1996-09-20
2008-88159,justo maecenas rhoncus aliquam lacus morbi,pretium,1993-09-10,1995-03-07
2011-58666,interdum venenatis turpis enim blandit mi,posuere,1995-05-28,1990-06-09
2017-46789,velit donec diam neque vestibulum eget,ullamcorper,1991-02-27,1998-02-13
2014-38776,suscipit nulla elit ac nulla sed vel enim sit amet,augue,1995-06-03,1995-01-23
2016-05118,eleifend pede libero quis orci nullam molestie nibh in,amet,1991-09-19,1993-04-29
2006-19949,quisque porta volutpat erat quisque,eget,1992-07-28,1998-08-15
2016-28947,justo maecenas rhoncus aliquam lacus morbi,sapien,2000-01-24,1995-03-16
2004-00984,iaculis diam erat fermentum justo nec,semper,1993-03-04,1992-07-08
2002-65735,elit sodales scelerisque mauris sit amet eros suspendisse accumsan,hac,1995-01-02,1993-01-14
2012-24558,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,fermentum,1996-10-27,1996-07-15
1991-17745,a suscipit nulla elit ac nulla sed vel,aliquam,1994-01-27,1992-03-20
2019-98130,pulvinar nulla pede ullamcorper augue a,a,1991-02-13,2000-01-31
1991-79549,congue vivamus metus arcu adipiscing,viverra,2000-11-10,1990-08-22
2002-12996,elementum nullam varius nulla facilisi cras non velit nec,congue,1991-03-24,1996-05-23
1993-35723,elementum in hac habitasse platea dictumst morbi vestibulum velit id,dapibus,1997-01-13,1990-08-29
2016-25174,dapibus duis at velit eu est congue elementum,sem,1998-08-19,1992-06-08
2007-55106,montes nascetur ridiculus mus vivamus,lectus,1992-08-31,1997-01-19
1990-62434,ac est lacinia nisi venenatis tristique fusce congue diam id,diam,1996-07-15,1999-08-19
1995-92826,posuere nonummy integer non velit donec,ridiculus,1993-05-24,1995-02-23
2017-69533,orci mauris lacinia sapien quis,risus,1996-04-09,1991-11-02
1993-38290,aliquam convallis nunc proin at turpis a,rutrum,1992-05-02,1998-12-09
2004-39229,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,nibh,1990-07-03,1997-09-14
2008-23115,felis sed interdum venenatis turpis enim,pede,1993-05-30,1996-02-14
2001-74219,porttitor lorem id ligula suspendisse ornare consequat lectus,luctus,2000-02-26,1990-01-17
2007-12055,rhoncus aliquam lacus morbi quis tortor id,orci,1995-08-27,1997-03-28
2019-49148,vel nisl duis ac nibh fusce lacus purus aliquet at,at,1991-12-27,2000-03-04
2012-51094,risus semper porta volutpat quam pede lobortis ligula sit,at,1996-06-01,1993-12-20
2017-34521,mi integer ac neque duis bibendum,ridiculus,1996-04-02,1993-01-10
1994-88692,suspendisse potenti cras in purus eu magna,ac,1996-03-28,1990-08-25
2011-89902,consequat lectus in est risus auctor sed tristique in tempus,venenatis,1993-12-18,1990-08-01
2018-13140,felis sed lacus morbi sem,lectus,1995-05-05,1995-05-25
2019-31401,id pretium iaculis diam erat,luctus,1990-05-17,1996-08-16
2012-38092,integer ac neque duis bibendum morbi non quam nec dui,convallis,1996-07-20,1995-09-25
2014-99676,nulla justo aliquam quis turpis eget elit sodales scelerisque,at,1991-09-05,1994-11-15
1991-39284,ut erat curabitur gravida nisi at nibh in hac habitasse,ac,1990-12-19,1992-11-13
2012-95106,eu interdum eu tincidunt in leo maecenas pulvinar,id,1998-10-04,2000-09-22
1999-90808,nulla ultrices aliquet maecenas leo odio,potenti,1995-11-08,1990-04-29
2014-74023,vehicula consequat morbi a ipsum integer a,purus,1990-09-02,1993-07-25
2003-98432,cubilia curae duis faucibus accumsan odio curabitur convallis,mi,1992-10-30,1993-01-20
1996-60896,dui luctus rutrum nulla tellus in sagittis dui,ipsum,1995-06-14,1998-02-20
2016-85565,nulla ut erat id mauris,rutrum,1993-03-11,1994-05-28
2002-58634,vestibulum ac est lacinia nisi venenatis tristique,iaculis,1995-07-06,1990-04-30
2007-20722,massa id lobortis convallis tortor risus,augue,1990-03-29,1997-05-18
1994-74395,magna vestibulum aliquet ultrices erat tortor sollicitudin mi,amet,1996-03-16,1992-10-24
1997-44138,lorem ipsum dolor sit amet,aliquam,1996-06-01,1991-04-19
1991-93249,adipiscing elit proin interdum mauris,consequat,1994-12-23,1994-04-23
2019-75683,dapibus nulla suscipit ligula in lacus curabitur,montes,1994-04-17,1994-06-27
1994-63616,ultrices posuere cubilia curae donec,vel,1993-10-13,1992-03-26
2016-82962,convallis nulla neque libero convallis eget eleifend luctus ultricies eu,nibh,1994-11-14,1992-11-10
2015-86936,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,ut,1992-01-27,1993-05-04
2011-66818,blandit lacinia erat vestibulum sed magna at nunc,mattis,1995-07-23,1992-01-30
2018-88697,sed magna at nunc commodo placerat,sit,1993-10-15,1995-01-21
1999-66902,a odio in hac habitasse platea dictumst maecenas,nulla,1999-04-04,1993-09-23
2013-33814,erat fermentum justo nec condimentum neque sapien,in,1991-01-13,1991-04-13
2005-17646,risus dapibus augue vel accumsan tellus nisi eu,magna,1996-08-01,1997-04-17
2011-75755,nisl ut volutpat sapien arcu sed augue,odio,1990-07-22,1996-01-11
2008-03805,nec nisi vulputate nonummy maecenas tincidunt lacus at velit,porttitor,1995-07-27,1997-07-03
2018-78634,in tempus sit amet sem,orci,1995-05-04,1992-09-13
2019-48292,urna pretium nisl ut volutpat sapien arcu sed,quisque,2000-04-03,2000-02-02
2012-83093,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,blandit,1994-12-12,2000-11-21
2003-34071,in imperdiet et commodo vulputate justo,aliquam,1993-09-29,1993-04-14
2015-04594,elementum ligula vehicula consequat morbi a ipsum,ligula,1991-08-18,1991-04-29
2015-54359,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,fusce,2000-08-30,1998-11-04
2000-81333,erat curabitur gravida nisi at nibh in,non,1996-12-17,2000-10-25
2017-13230,quis augue luctus tincidunt nulla mollis molestie lorem quisque,nibh,1998-01-25,2000-08-01
2000-65315,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,nunc,1992-08-24,1996-01-02
1991-00105,diam erat fermentum justo nec condimentum,dui,1990-07-03,2000-02-18
2016-59248,ac enim in tempor turpis nec euismod scelerisque quam turpis,sem,1991-10-08,1996-07-18
1990-39641,massa quis augue luctus tincidunt,aliquam,1990-01-13,1990-11-06
2013-33476,vel lectus in quam fringilla rhoncus mauris,mattis,1995-03-17,1997-04-24
2017-56601,turpis sed ante vivamus tortor,in,1999-11-18,1992-05-02
1994-89957,adipiscing molestie hendrerit at vulputate vitae nisl,congue,1991-08-01,1994-07-18
1990-40041,a pede posuere nonummy integer non velit,curabitur,1991-10-02,1999-03-27
2016-68618,massa volutpat convallis morbi odio,id,1999-04-17,1993-10-16
2012-97533,aliquam erat volutpat in congue etiam justo etiam pretium iaculis,mauris,1993-10-11,1998-07-09
2017-64489,sociis natoque penatibus et magnis dis parturient,quis,1993-03-03,1996-04-16
2017-40379,congue etiam justo etiam pretium,lobortis,1998-12-23,2000-01-14
2004-59458,in tempor turpis nec euismod,a,1991-02-15,1990-05-04
2001-49230,tempus vivamus in felis eu sapien cursus vestibulum proin eu,maecenas,1997-05-07,1991-05-23
2006-10037,sit amet eros suspendisse accumsan tortor quis turpis sed ante,odio,1999-07-25,2000-05-31
1993-12833,et ultrices posuere cubilia curae duis faucibus accumsan odio,felis,1997-12-31,1994-01-06
2013-11124,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,amet,1994-11-22,1992-06-29
2010-13237,at nibh in hac habitasse platea dictumst,vitae,1991-05-17,2000-07-25
1994-84924,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,tellus,1997-11-11,1992-06-16
1998-95013,praesent blandit nam nulla integer pede justo lacinia eget,at,1999-01-30,1997-08-03
1990-03087,vehicula condimentum curabitur in libero ut massa volutpat convallis,sit,1991-08-13,1996-12-18
2018-89111,in faucibus orci luctus et ultrices posuere,ipsum,2000-12-09,1994-08-15
2003-77498,sit amet eleifend pede libero quis orci nullam molestie nibh,amet,1992-03-30,1998-11-03
2003-26044,sit amet eleifend pede libero,porttitor,1991-11-27,1992-02-08
2004-99557,ante nulla justo aliquam quis turpis eget elit sodales,cursus,1994-03-14,1990-06-04
2019-41349,odio justo sollicitudin ut suscipit a feugiat,fringilla,1994-01-06,1995-01-28
2019-79061,fusce consequat nulla nisl nunc,aliquet,1992-01-24,1990-09-21
2014-14325,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,sem,1993-04-21,1991-08-01
2008-21062,est phasellus sit amet erat nulla tempus vivamus in felis,ut,1998-03-26,1995-07-25
2001-99107,dolor vel est donec odio justo sollicitudin ut suscipit,sapien,1996-03-13,1995-08-24
2018-99878,non lectus aliquam sit amet,interdum,2000-09-24,2000-04-02
1995-27079,in ante vestibulum ante ipsum primis in faucibus,posuere,1990-12-23,1994-02-17
2008-44860,aenean fermentum donec ut mauris eget massa tempor convallis nulla,rutrum,1996-04-18,1994-05-02
2000-45579,congue diam id ornare imperdiet,vel,1999-09-02,1995-11-01
2014-06063,sed tristique in tempus sit amet sem fusce,a,1992-01-09,2000-02-27
2008-71667,tellus nisi eu orci mauris lacinia sapien,adipiscing,1991-07-31,1993-12-13
2000-81436,in porttitor pede justo eu massa donec,convallis,1992-02-28,1996-08-17
2010-97509,orci luctus et ultrices posuere cubilia curae donec,est,1994-05-11,2000-03-25
2009-34632,duis bibendum morbi non quam,convallis,1996-10-31,2000-08-27
1999-91494,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,congue,1998-09-04,1997-05-01
2006-72779,lectus in est risus auctor,dui,1999-02-08,1999-07-02
2000-60913,semper porta volutpat quam pede lobortis,rutrum,1998-06-14,1995-01-13
2004-24530,id mauris vulputate elementum nullam,eu,1998-02-14,1990-05-17
2019-37847,duis at velit eu est congue elementum in,suspendisse,1996-11-20,2000-01-21
1999-78479,ligula sit amet eleifend pede libero quis orci nullam,habitasse,1999-07-23,1993-04-15
2014-29861,lectus pellentesque eget nunc donec quis orci eget orci vehicula,velit,1991-07-04,1999-08-12
2007-47539,libero nam dui proin leo odio porttitor id consequat in,nisl,2000-09-10,1997-09-04
2003-46083,sem duis aliquam convallis nunc,habitasse,1996-11-18,1992-07-05
2012-66097,pellentesque viverra pede ac diam cras pellentesque volutpat dui,volutpat,1994-06-12,1992-07-25
1995-41123,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,justo,1994-08-26,1990-05-22
2016-97567,cras mi pede malesuada in imperdiet,maecenas,1997-08-02,1994-10-18
1993-98597,ut blandit non interdum in ante vestibulum ante ipsum,volutpat,1998-01-17,1992-08-17
2017-75879,nibh ligula nec sem duis,porttitor,1990-05-01,1997-05-06
2016-66081,lobortis convallis tortor risus dapibus augue,sem,1993-01-07,1998-04-01
1994-45700,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,massa,1991-08-27,1996-11-03
2009-72500,duis faucibus accumsan odio curabitur convallis duis,dolor,1999-12-27,1998-01-29
2010-60337,nonummy maecenas tincidunt lacus at,semper,1994-06-16,1999-11-04
2016-56626,donec quis orci eget orci vehicula condimentum curabitur in,libero,1991-04-16,1994-02-10
2000-05490,amet eros suspendisse accumsan tortor quis turpis sed,ante,1996-09-17,1996-04-30
2006-71738,hac habitasse platea dictumst etiam faucibus,lectus,1994-09-25,1996-08-28
2019-56036,proin interdum mauris non ligula pellentesque,placerat,2000-11-06,1996-09-29
1990-93688,ut nulla sed accumsan felis,ut,1998-02-15,1992-11-15
2011-60310,ligula nec sem duis aliquam convallis nunc proin,vitae,1994-12-14,1994-09-08
2016-58747,molestie hendrerit at vulputate vitae nisl aenean lectus,et,1995-03-19,1994-10-29
1990-63889,sodales scelerisque mauris sit amet eros suspendisse,urna,1999-09-11,1995-03-20
2012-50098,dolor vel est donec odio,posuere,1996-07-06,1990-08-17
2015-82028,odio condimentum id luctus nec molestie sed justo pellentesque viverra,non,2000-04-07,1996-10-02
2012-97337,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,eu,1994-01-18,1990-07-09
2012-62904,habitasse platea dictumst etiam faucibus cursus,eget,2000-03-01,1994-02-25
2018-64671,dui vel nisl duis ac nibh fusce lacus purus aliquet,ultrices,1996-05-18,1999-04-05
2018-00818,nisl aenean lectus pellentesque eget,vel,2000-09-16,1990-05-03
1994-31905,pretium iaculis diam erat fermentum justo nec,id,1992-03-18,1999-11-27
2000-88552,neque vestibulum eget vulputate ut ultrices vel augue,etiam,1995-04-12,1999-10-04
2012-03377,est lacinia nisi venenatis tristique fusce,quisque,1997-04-03,1992-04-24
2006-64644,risus praesent lectus vestibulum quam sapien varius ut blandit non,platea,1999-05-03,1990-08-12
1994-42174,dapibus duis at velit eu est congue elementum,malesuada,1991-11-20,1990-03-20
2017-17765,lorem ipsum dolor sit amet,porta,1993-08-13,1994-02-19
2008-31683,non mauris morbi non lectus aliquam sit amet diam,nec,1998-10-29,1992-10-10
1992-32867,platea dictumst morbi vestibulum velit,vel,1990-02-18,1996-09-13
2000-70892,felis sed lacus morbi sem mauris laoreet,eget,1999-01-28,1996-08-18
2009-26464,maecenas leo odio condimentum id luctus nec molestie sed justo,sapien,2000-05-05,1996-08-04
2001-17353,convallis duis consequat dui nec nisi volutpat eleifend donec,platea,1990-08-21,1993-01-30
2011-98981,eu magna vulputate luctus cum sociis natoque,faucibus,2000-07-18,1992-08-22
1990-23453,curabitur convallis duis consequat dui nec,tempus,1993-12-28,1990-05-03
1996-80815,lacus at velit vivamus vel nulla eget,magna,1997-10-04,1998-03-02
2016-66874,in hac habitasse platea dictumst,nisi,1995-12-07,1995-11-05
2011-82051,arcu libero rutrum ac lobortis vel dapibus at diam nam,faucibus,1991-08-25,1994-07-05
2007-86224,sociis natoque penatibus et magnis,augue,1990-01-28,1999-09-21
2018-75239,gravida sem praesent id massa id nisl venenatis lacinia aenean,posuere,1994-02-06,1995-02-13
2017-98296,eleifend quam a odio in hac habitasse,ligula,1990-11-14,1999-12-06
1998-71881,lorem vitae mattis nibh ligula nec sem duis,in,1991-10-05,1992-10-14
2014-56052,vitae nisi nam ultrices libero non mattis pulvinar nulla pede,molestie,1991-08-23,1999-05-05
2007-41608,id pretium iaculis diam erat fermentum justo,amet,1997-10-20,1994-01-26
2009-80630,luctus rutrum nulla tellus in sagittis dui vel nisl duis,lobortis,1997-03-27,1991-08-24
2018-69077,suspendisse accumsan tortor quis turpis sed ante vivamus,convallis,1990-03-11,1996-09-11
2005-12518,pede ac diam cras pellentesque volutpat dui maecenas,ligula,2000-10-15,1992-03-23
1999-01426,cubilia curae nulla dapibus dolor vel est,sapien,1990-01-29,1992-11-20
2015-09311,vestibulum velit id pretium iaculis diam,ut,1991-04-16,2000-01-21
2003-56820,in sagittis dui vel nisl duis ac nibh fusce lacus,tincidunt,1997-07-05,2000-07-24
2004-00908,posuere cubilia curae donec pharetra,mauris,1993-01-12,1999-10-31
1994-25565,eget tempus vel pede morbi porttitor,orci,1995-11-26,1990-10-19
2019-17131,suscipit a feugiat et eros vestibulum,in,1999-07-05,1993-04-03
2016-13686,praesent id massa id nisl venenatis lacinia aenean sit amet,lectus,1990-02-25,1995-05-31
2018-36073,convallis duis consequat dui nec nisi volutpat eleifend donec ut,nibh,2000-07-13,1992-07-22
2010-52727,in faucibus orci luctus et ultrices,eu,1998-11-03,1997-12-31
2011-89155,vivamus tortor duis mattis egestas metus aenean fermentum donec ut,augue,1992-05-24,1997-12-20
2006-57217,id massa id nisl venenatis lacinia,ac,1991-03-03,1997-02-19
2006-97106,ornare imperdiet sapien urna pretium nisl ut,primis,1991-12-05,1999-05-02
2015-33890,odio elementum eu interdum eu tincidunt,et,1994-02-15,1997-01-23
1992-73768,mauris laoreet ut rhoncus aliquet pulvinar sed,parturient,1997-09-21,1997-12-01
2019-00673,sed ante vivamus tortor duis mattis egestas,elementum,1997-12-10,1996-06-28
2010-85934,vestibulum sed magna at nunc commodo placerat,in,2000-06-08,1999-08-05
2016-60785,eget tincidunt eget tempus vel pede morbi porttitor lorem id,turpis,1993-03-12,1996-02-29
2010-61569,turpis elementum ligula vehicula consequat morbi a ipsum integer a,viverra,1990-05-06,1992-12-11
2009-37912,in faucibus orci luctus et ultrices posuere cubilia,nisl,1991-07-15,1992-12-21
2011-55372,facilisi cras non velit nec nisi,purus,1997-04-12,1993-10-01
2016-61900,eu felis fusce posuere felis,vitae,1990-12-07,1994-01-06
2016-47149,justo nec condimentum neque sapien,etiam,1997-05-28,1992-09-06
2015-15085,in hac habitasse platea dictumst aliquam augue,lacinia,1991-12-02,1991-05-11
2006-18424,quis orci eget orci vehicula,risus,2000-02-13,1994-02-20
2002-45155,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,laoreet,1994-08-22,1992-04-06
2011-68774,sit amet cursus id turpis integer aliquet massa id lobortis,justo,1996-04-03,1991-09-03
2012-48177,pede justo eu massa donec dapibus duis at,non,1990-02-16,1999-12-25
1994-86957,donec quis orci eget orci,non,2000-03-02,1991-05-05
2007-35108,sem duis aliquam convallis nunc,magna,1998-04-12,1997-08-25
2002-29217,augue vestibulum rutrum rutrum neque aenean auctor gravida,turpis,1992-05-11,1993-01-08
1994-53368,pellentesque viverra pede ac diam cras pellentesque,consectetuer,1991-08-12,2000-07-14
1997-36647,turpis elementum ligula vehicula consequat,accumsan,2000-02-23,1996-03-26
2000-86840,eget orci vehicula condimentum curabitur in libero ut massa volutpat,vivamus,1992-05-22,1992-01-30
1998-18572,sit amet eros suspendisse accumsan tortor quis turpis,nunc,1998-10-20,1994-10-07
2006-53826,mattis egestas metus aenean fermentum donec ut mauris,congue,1998-04-23,1993-11-07
1991-97010,sit amet justo morbi ut odio cras mi,vivamus,1997-11-21,1994-06-25
2001-40610,orci pede venenatis non sodales sed tincidunt eu,tristique,1992-12-09,1996-01-14
2012-07682,tempus sit amet sem fusce consequat nulla nisl,vestibulum,1994-05-08,2000-03-04
1996-41186,orci luctus et ultrices posuere cubilia curae mauris viverra diam,erat,1990-05-11,2000-07-10
1990-17695,nunc commodo placerat praesent blandit nam,vulputate,1999-08-12,1993-01-20
2018-23667,vivamus tortor duis mattis egestas metus aenean fermentum donec ut,molestie,1996-05-08,1997-08-03
2017-10155,nulla quisque arcu libero rutrum ac lobortis,volutpat,1991-03-01,1991-06-13
2006-19753,ligula suspendisse ornare consequat lectus in est risus auctor,libero,1995-02-24,1996-03-20
2015-04219,a ipsum integer a nibh,vitae,1994-01-18,1999-08-24
2013-64775,diam erat fermentum justo nec condimentum neque sapien placerat ante,velit,1990-09-17,1998-02-25
2016-68196,a feugiat et eros vestibulum,lobortis,1992-07-18,2000-03-18
2011-24481,cursus vestibulum proin eu mi nulla ac enim in,habitasse,1991-08-30,1998-04-04
2018-23885,eu magna vulputate luctus cum,pulvinar,1994-06-02,1994-05-10
1996-71839,sit amet eros suspendisse accumsan tortor quis,curabitur,1990-03-20,2000-01-05
2010-75738,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus,ipsum,2000-02-15,1992-11-05
2017-70934,morbi ut odio cras mi pede,augue,1990-10-03,1995-05-17
2010-19053,in libero ut massa volutpat convallis morbi odio,posuere,1999-01-19,1994-03-21
2013-47330,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,felis,1999-08-15,1992-06-12
1998-28437,eget orci vehicula condimentum curabitur in libero ut massa,et,1997-05-11,1998-12-08
1996-91055,morbi porttitor lorem id ligula suspendisse ornare consequat lectus,hac,1994-07-30,1999-03-12
2011-83203,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,quis,1997-03-13,1999-12-17
2004-31031,sed accumsan felis ut at,fermentum,1994-07-17,2000-03-15
2005-77702,pulvinar nulla pede ullamcorper augue a,id,1990-09-25,1991-07-08
1993-28528,adipiscing lorem vitae mattis nibh,auctor,1992-08-21,1997-04-01
2013-67226,nisi vulputate nonummy maecenas tincidunt,facilisi,1994-06-17,1993-06-29
2016-24769,faucibus orci luctus et ultrices,quam,1990-01-03,1993-05-23
1991-72797,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,fringilla,1997-03-02,1994-11-05
1991-01436,in imperdiet et commodo vulputate justo in blandit ultrices,phasellus,1990-06-11,1993-08-24
1994-97229,vel dapibus at diam nam tristique tortor eu pede,odio,1993-06-08,1999-11-07
